feature,importance
Distance_Traffic_Interaction,0.22772367932598225
Agent_Rating,0.20909774669180475
Weather_Severity,0.12145205413671498
Weather_Distance_Interaction,0.1147434961774907
Agent_Age,0.11459695531930729
Distance_km,0.05261409678896289
Agent_Performance_Score,0.05115970586196215
Traffic_Severity,0.035104434377955615
Vehicle_Speed_Factor,0.02172714870091731
Preparation_Time,0.016388533664255727
Order_Hour,0.0162056758065262
Area_Density,0.009006145383149491
Is_Weekend,0.007424860559373617
Is_Peak_Hour,0.002537955340358266
Is_Long_Distance,0.00021751186523875614
